username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
Shedd_GL;2016-09-16 19:10;2;6;No better news on a Friday than that which protects the #GreatLakes ! Thank YOU, @SenatorKirk , for your efforts! https:// twitter.com/SenatorKirk/st atus/776828125720129536 …;;@SenatorKirk;#GreatLakes;7.76831E+17;https://twitter.com/Shedd_GL/status/776830740885409792;
wojciechglowack;2016-09-16 18:43;0;1;@SenatorKirk Gratulacje dzisiaj z tej okazji!A jutro w Chicago uroczystości z okazji 77 rocznicy napaści Sowietów na Polskę! Zapraszamy !!!;;@SenatorKirk;;7.76824E+17;https://twitter.com/wojciechglowack/status/776823791473217536;
Chieficons;2016-09-16 18:31;0;0;@SenatorKirk Congrats for the good work done ,there is still more you can do ,it's all written in your angel Eyes so go get it done SenatorK;;@SenatorKirk;;7.76821E+17;https://twitter.com/Chieficons/status/776820804252266497;
G_Grisedale;2016-09-16 18:11;0;1;@MichaelLucchese @SenatorKirk Wall.;;@MichaelLucchese @SenatorKirk;;7.76816E+17;https://twitter.com/G_Grisedale/status/776815829400768512;
Pstilentdefiler;2016-09-16 17:55;4;3;@SenatorKirk @JohnLaprise @SenatorDurbin https:// twitter.com/NetworksManage r/status/776117689689464832 …;;@SenatorKirk @JohnLaprise @SenatorDurbin;;7.76812E+17;https://twitter.com/Pstilentdefiler/status/776811736418496518;
JohnLaprise;2016-09-16 17:50;0;0;. @SenatorKirk @Pstilentdefiler I'm a Des Plaines, IL resident/constituent and Internet expert. #ICANN can't give what it doesn't have.;;@SenatorKirk @Pstilentdefiler;#ICANN;7.7681E+17;https://twitter.com/JohnLaprise/status/776810483248619521;
jffmurphy;2016-09-16 17:45;0;0;Retweeted Mark Kirk ( @SenatorKirk ): Through my role in MilConVA I included authority to hire 100 more employees... http:// fb.me/5mzsufG4s;;@SenatorKirk;;7.76809E+17;https://twitter.com/jffmurphy/status/776809315944374272;
debraraes;2016-09-16 17:36;0;0;@SenatorKirk Another generation of parentless children destroying America. #DontDraftOurDaughters #PJNET http:// PatriotJournalist.com/DontDraftOurDa ughtersPix.php?GUID=57dbf4141eeec4.57491125_24 …;;@SenatorKirk;#DontDraftOurDaughters #PJNET;7.76807E+17;https://twitter.com/debraraes/status/776806903875678208;
AppDrivenToys;2016-09-16 17:25;0;0;@LorettaLynch @SenatorDurbin @SenatorKirk @glennbeck @ChuckGrassley @KamalaHarris @Cubs @RepFredUpton @KateUpton Again,Justice isn't just 4;;@LorettaLynch @SenatorDurbin @SenatorKirk @glennbeck @ChuckGrassley @KamalaHarris @Cubs @RepFredUpton @KateUpton;;7.76804E+17;https://twitter.com/AppDrivenToys/status/776804217063288832;
MissShuganah;2016-09-16 17:16;0;0;@SenatorDurbin @SenatorKirk our #HospitalHeroes do amazing work. Here's 50+ reasons to protect #patientcare in IL. http:// bit.ly/2cYf3GM;;@SenatorDurbin @SenatorKirk;#HospitalHeroes #patientcare;7.76802E+17;https://twitter.com/MissShuganah/status/776802056447201280;
