# date;sentiment;objectivity;retweets;favourites
31.10.2016 16:25;0;0;41;80
31.10.2016 16:08;0.25;0.25;0;0
31.10.2016 15:39;0.25;0.2;0;3
31.10.2016 15:15;0;0;0;0
31.10.2016 15:11;0;0;0;1
31.10.2016 15:10;0.244444444;0.544444444;40;79
31.10.2016 14:55;0;0;0;0
31.10.2016 13:56;-0.01875;0.533333333;0;0
31.10.2016 13:54;0;0;0;0
31.10.2016 13:33;0;0;0;0
31.10.2016 05:30;-0.7;0.666666667;0;0
31.10.2016 03:14;-0.375;0.5;0;1
31.10.2016 02:40;-0.083333333;0.583333333;0;1
31.10.2016 02:39;0.8;0.7;0;1
31.10.2016 02:38;-0.5;1;0;1
31.10.2016 02:37;-0.1875;0.5;1;1
31.10.2016 02:35;0.243181818;0.552272727;0;1
31.10.2016 02:16;0.5;0.5;5;7
31.10.2016 01:45;0.3;0.566666667;2;3
31.10.2016 01:43;0.133333333;0.566666667;0;1
31.10.2016 01:40;0;0;0;1
31.10.2016 01:31;0;0;12;45
31.10.2016 01:14;0.233333333;0.555555556;1;4
31.10.2016 01:13;0.5;0.888888889;8;3
31.10.2016 00:12;0;0;0;0
31.10.2016 00:10;0;0.1;1;1
31.10.2016 00:06;0;0;32;60
30.10.2016 23:51;0.075;0.81;0;1
30.10.2016 23:49;0;0;2;3
30.10.2016 23:39;-0.2;0.4;0;0
30.10.2016 23:36;0;0;2;5
30.10.2016 23:25;0.9;0.575;0;1
30.10.2016 23:01;-0.090909091;0.488636364;0;0
30.10.2016 22:59;0.7;0.9;1;1
30.10.2016 22:58;0;0;0;0
30.10.2016 22:45;0.375;0.75;2;11
30.10.2016 22:40;1;1;0;0
30.10.2016 22:35;-0.25;0.25;0;0
30.10.2016 22:34;0;0;7;28
30.10.2016 22:31;-0.1;0.2;0;0
30.10.2016 22:20;0;0;2;4
30.10.2016 22:06;-0.3125;0.25;0;1
30.10.2016 21:51;0;0.1;23;27
30.10.2016 21:42;-0.25;0.5;1;4
30.10.2016 21:40;-0.3;0.55;0;0
30.10.2016 21:35;0;0;101;116
30.10.2016 21:25;0;0;2;3
30.10.2016 21:03;0.35;0.55;52;105
30.10.2016 20:39;0;0;0;1
30.10.2016 20:24;0.483333333;0.433333333;1;1
30.10.2016 20:19;0;0;0;0
30.10.2016 20:14;0;0.066666667;2;2
30.10.2016 20:13;-0.122222222;0.188888889;0;0
30.10.2016 19:56;1;1;0;0
30.10.2016 19:20;0.7125;0.7;4;7
30.10.2016 19:09;1;1;0;0
30.10.2016 19:01;0;0;65;192
30.10.2016 18:33;-0.6;0.7;0;0
30.10.2016 18:26;0;0.75;0;3
30.10.2016 18:24;0;0;1;1
30.10.2016 18:23;0;0;4;5
30.10.2016 18:20;0.081481481;0.290740741;0;0
30.10.2016 18:19;0;0;2;1
30.10.2016 18:11;0.1;1;1;0
30.10.2016 18:09;0.25;0.25;0;12
30.10.2016 18:08;0;0;0;0
30.10.2016 18:07;0;0;0;0
30.10.2016 18:05;0.25;0.75;0;5
30.10.2016 18:02;0.05;0.2;0;0
30.10.2016 17:20;0.6;0.8;39;89
30.10.2016 17:12;0.25;0.25;0;0
30.10.2016 16:38;0.8;0.9;0;0
30.10.2016 16:30;0;0;29;57
30.10.2016 16:23;0.1875;0;0;0
30.10.2016 16:20;0.375;0.6;0;0
30.10.2016 16:10;0;0;0;1
30.10.2016 16:08;-0.2;0.4;3;2
30.10.2016 15:50;-0.009722222;0.611111111;0;0
30.10.2016 15:46;0;0;1;0
30.10.2016 15:16;0;0;4;1
30.10.2016 13:39;0;0;0;0
30.10.2016 13:32;-0.5;0.5;0;0
30.10.2016 13:22;0.35;0.65;0;0
30.10.2016 12:51;0;0;0;0
30.10.2016 11:56;0.06875;0.2625;1;1
30.10.2016 11:10;0;0;0;0
30.10.2016 09:27;0;0;1;1
30.10.2016 09:26;0.5;0.5;1;1
30.10.2016 09:25;0.075;0.325;1;1
30.10.2016 08:33;0;0;10;10
30.10.2016 08:23;0.016666667;0.283333333;0;0
30.10.2016 08:20;-0.1;0.2;0;1
30.10.2016 08:18;-0.108333333;0.383333333;0;0
30.10.2016 07:50;0.233333333;0.777777778;0;3
30.10.2016 07:36;0.333333333;0.483333333;0;0
30.10.2016 07:14;0.25;0.75;47;47
30.10.2016 07:12;-0.5;0.7;0;0
30.10.2016 07:11;0;0;1;1
30.10.2016 07:04;0.8;0.9;61;72
30.10.2016 06:55;0;0;3;3
30.10.2016 06:33;-1;1;1;3
30.10.2016 06:31;0;0;2;2
30.10.2016 06:20;0;0.125;2;3
30.10.2016 06:10;0;0;0;0
30.10.2016 06:06;0.4;0.55;1;3
30.10.2016 06:05;-0.6;1;0;0
30.10.2016 05:48;-0.1;0.1;0;0
30.10.2016 05:41;0.25;0.25;0;0
